Final_Name,Alt_Name,Inst_final,z,z_src,CIV_blue_tvm,CIV_EW_tvm,_RA,_DE,Sul_Name,SDSS_NAME,PLATE,MJD,FIBERID,F1450_spec (erg/s/cm2/A),S2N_1450A,CIVgood_manmask,F1550_sul07,c1_2_sul07,log M_BH,+err(log M_BH),-err(log M_BH),MBH_source,MBH_source_qual,logEddRatio,EddRatio_Source,EddRatio_Source_qual,LBol,LBol Source,LBol_Source_qual,logLEdd,logLEdd_Source,logLEdd_Source_qual,F2500 (ergs/s/cm2/A),F2500_change,logLbol_2500 (erg/s),logLedd (erg/s),logEddRatio_2500,CIV_Distance,Spec_Name
1H 0707-495,2MASS J07084147-4933063,STIS,0.0408,Sul,1437.4822521104,6.09512166756493,107.17305,-49.5518416666667,J07086-4933,,,,,1.22497378701229E-14,14.0528654479502,1,2.69,-2032.0,6.3,,,Done&Jin2016,2.0,,,,,,,,,,6.78522077892009E-15,6.78522077892009E-15,44.2958997691673,44.4003705451176,-0.104470775950311,0.896653472753373,J07086-4933
1H 1613-097,2MASS J16151905-0936132,HSLA,0.06496,https://arxiv.org/pdf/2108.11958.pdf,59.3812117613829,68.5700311605491,243.829,-9.60369,,,,,,3.81260826126406E-15,25.3718124491728,1,,,6.94,,,https://doi.org/10.1051/0004-6361/201832678,2.0,0.252853031,https://doi.org/10.1051/0004-6361/201832678,2.0,,,,,,,2.59139083233192E-15,2.59139083233192E-15,44.2968811276642,45.0403705451176,-0.743489417453333,0.395527351812605,1H1613-097
2E 1013,PKS 0420-01,FOS,0.915,Sul,-78.7812685546023,58.892012636094,65.8158363888889,-1.34251805555556,J04232-0120,,,,,3.78851677984876E-16,17.908756231956,1,0.48,181.0,9.03,,,Woo&Urry2002,2.0,,,,,,,,,,2.51515369171738E-16,2.51515369171738E-16,45.8772649369908,47.1303705451176,-1.25310560812672,0.432296828083621,J04232-0120
2E 1135,PKS 0439-43,FOS,0.5938,Sul,335.512559052064,68.3754727143702,70.3221666666667,-43.2292777777778,J04412-4313,,,,,2.30191019560749E-15,9.40488692402819,1,0.83,-7.0,8.08,,,Kelly&Bechtold2007,2.0,,,,,,,,,,1.22959376850609E-15,1.22959376850609E-15,46.1033346757799,46.1803705451176,-0.0770358693377062,0.396814596394335,J04412-4313
2E 1644,IRAS L06229-6434,HSLA,0.129,https://arxiv.org/pdf/1710.10703.pdf,-493.636574850928,80.7748767540228,95.782,-64.6058,,,,,,8.0070886221097E-15,36.5997695516011,0,,,7.8,,,BASS-DR2 (Koss+2022),2.0,-0.44,BASS-DR2 (Koss+2022),,45.54,BASS-DR2 (Koss+2022),,,,,5.85858384921094E-15,5.85858384921094E-15,45.271567994887,45.9003705451176,-0.628802550230532,0.352018484950131,IRAS-L06229-6434
2E 2889,PKS 1252+11,FOS,0.8737,Sul,1162.37705552831,12.281425515905,193.659401666667,11.6849622222222,J12546+1141,125438.25+114105.8,1695.0,53473.0,217.0,1.67517688611005E-15,14.1825337217186,1,1.17,-1567.0,8.92,0.02,0.02,Rakshit+2020 (MgII),2.5,,,,,,,,,,9.20181994170859E-16,9.20181994170859E-16,46.3843516482215,47.0203705451176,-0.636018896896069,0.801316168721351,J12546+1141
2E 3345,PKS 1451-37,FOS,0.314,Sul,-701.286883341517,139.46322164776,223.614207222222,-37.7925402777778,J14544-3747,,,,,1.71349364290464E-15,6.94688233505123,1,0.59,777.0,8.82,,,Woo&Urry2002,2.0,,,,,,,,,,1.08311535133169E-15,1.08311535133169E-15,45.4008874412318,46.9203705451176,-1.51948310388578,0.210292856501706,J14544-3747
2E 4226,ESO 141-55,HSLA,0.037109,NED,128.443090585211,56.7826568644483,290.309,-58.6703,,,,,,7.23250030136542E-14,66.8725408641116,1,,,7.99,,,BASS-DR2 (Koss+2022),2.0,-1.09,BASS-DR2 (Koss+2022),,45.08,BASS-DR2 (Koss+2022),,45.14,Koss+17,1.5,4.05658180760213E-14,4.05658180760213E-14,44.9787239196469,46.0903705451176,-1.11164662547071,0.444948576838678,ESO-141-55
2E 935,PKS 0403-13,FOS,0.5705,Sul,-701.286883341517,89.4293219388578,61.3916991666667,-13.1371569444444,J04055-1308,,,,,1.16920530487701E-15,21.1071382885753,1,0.65,560.0,9.12,,,BASS-DR2 (Koss+2022),2.0,-0.16,BASS-DR2 (Koss+2022),,47.14,BASS-DR2 (Koss+2022),,,,,7.50559013494454E-16,7.98E-16,45.8764663919128,47.2203705451176,-1.34390415320477,0.325265251726507,J04055-1308
2MASS J00481898+3941116,1RXSÂ J004819.6+394110,HSLA,0.135,"Borisov, Voikhanskaya & Fabrika 1991",128.443090585211,48.5469495403264,12.0791,39.6866,,,,,,8.12781615410735E-15,52.5159962010099,1,,,,,,,,,,,,,,,,,5.44361676245301E-15,5.44361676245301E-15,45.2823491603706,,,0.479719211898922,QSO0045+3926
